id,name,year,platform,publisher,genre
1,Wii Sports,2006,1,1,1
2,Super Mario Bros.,1985,2,1,2
3,Mario Kart Wii,2008,1,1,3
4,Wii Sports Resort,2009,1,1,1
5,Pokemon Red/Pokemon Blue,1996,3,1,4
6,Tetris,1989,3,1,5
7,New Super Mario Bros.,2006,4,1,2
8,Wii Play,2006,1,1,6
9,New Super Mario Bros. Wii,2009,1,1,2
10,Duck Hunt,1984,2,1,7
11,Nintendogs,2005,4,1,8
12,Mario Kart DS,2005,4,1,3
13,Pokemon Gold/Pokemon Silver,1999,3,1,4
14,Wii Fit,2007,1,1,1
15,Wii Fit Plus,2009,1,1,1
16,Kinect Adventures!,2010,5,2,6
17,Grand Theft Auto V,2013,6,3,9
18,Grand Theft Auto: San Andreas,2004,7,3,9
19,Super Mario World,1990,8,1,2
20,Brain Age: Train Your Brain in Minutes a Day,2005,4,1,6
21,Pokemon Diamond/Pokemon Pearl,2006,4,1,4
22,Super Mario Land,1989,3,1,2
23,Super Mario Bros. 3,1988,2,1,2
24,Grand Theft Auto V,2013,5,3,9
25,Grand Theft Auto: Vice City,2002,7,3,9
26,Pokemon Ruby/Pokemon Sapphire,2002,9,1,4
27,Pokemon Black/Pokemon White,2010,4,1,4
28,Brain Age 2: More Training in Minutes a Day,2005,4,1,5
29,Gran Turismo 3: A-Spec,2001,7,4,3
30,Call of Duty: Modern Warfare 3,2011,5,5,7
31,Pokémon Yellow: Special Pikachu Edition,1998,3,1,4
32,Call of Duty: Black Ops,2010,5,5,7
33,Pokemon X/Pokemon Y,2013,10,1,4
34,Call of Duty: Black Ops 3,2015,11,5,7
35,Call of Duty: Black Ops II,2012,6,5,7
36,Call of Duty: Black Ops II,2012,5,5,7
37,Call of Duty: Modern Warfare 2,2009,5,5,7
38,Call of Duty: Modern Warfare 3,2011,6,5,7
39,Grand Theft Auto III,2001,7,3,9
40,Super Smash Bros. Brawl,2008,1,1,10
41,Call of Duty: Black Ops,2010,6,5,7
42,Animal Crossing: Wild World,2005,4,1,8
43,Mario Kart 7,2011,10,1,3
44,Halo 3,2007,5,2,7
45,Grand Theft Auto V,2014,11,3,9
46,Pokemon HeartGold/Pokemon SoulSilver,2009,4,1,9
47,Super Mario 64,1996,12,1,2
48,Gran Turismo 4,2004,7,4,3
49,Super Mario Galaxy,2007,1,1,2
50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,2014,10,1,4
51,Super Mario Land 2: 6 Golden Coins,1992,3,1,11
52,Grand Theft Auto IV,2008,5,3,9
53,Gran Turismo,1997,13,4,3
54,Super Mario 3D Land,2011,10,1,2
55,Gran Turismo 5,2010,6,4,3
56,Call of Duty: Modern Warfare 2,2009,6,5,7
57,Grand Theft Auto IV,2008,6,3,9
58,Super Mario All-Stars,1993,8,1,2
59,Pokemon FireRed/Pokemon LeafGreen,2004,9,1,4
60,Super Mario 64,2004,4,1,2
61,Just Dance 3,2011,1,6,6
62,Call of Duty: Ghosts,2013,5,5,7
63,Halo: Reach,2010,5,2,7
64,Mario Kart 64,1996,12,1,3
65,New Super Mario Bros. 2,2012,10,1,2
66,Halo 4,2012,5,2,7
67,Final Fantasy VII,1997,13,4,4
68,Call of Duty: Ghosts,2013,6,5,7
69,Just Dance 2,2010,1,6,6
70,Gran Turismo 2,1999,13,4,3
71,Call of Duty 4: Modern Warfare,2007,5,5,7
72,Donkey Kong Country,1994,8,1,2
73,Minecraft,2013,5,2,6
74,Animal Crossing: New Leaf,2012,10,1,8
75,Mario Party DS,2007,4,1,6
76,The Elder Scrolls V: Skyrim,2011,5,7,4
77,Super Mario Kart,1992,8,1,3
78,FIFA 16,2015,11,8,1
79,Wii Party,2010,1,1,6
80,Halo 2,2004,14,2,7
81,Mario Party 8,2007,1,1,6
82,Pokemon Black 2/Pokemon White 2,2012,4,1,4
83,FIFA Soccer 13,2012,6,8,9
84,The Sims 3,2009,15,8,8
85,GoldenEye 007,1997,12,1,7
86,Mario & Sonic at the Olympic Games,2007,1,9,1
87,Final Fantasy X,2001,7,4,4
88,Final Fantasy VIII,1999,13,10,4
89,Pokémon Platinum Version,2008,4,1,4
90,Pac-Man,1982,16,11,5
91,Grand Theft Auto: Liberty City Stories,2005,17,3,9
92,Super Mario Galaxy 2,2010,1,1,2
93,Star Wars Battlefront (2015),2015,11,8,7
94,Call of Duty: Advanced Warfare,2014,11,5,7
95,The Legend of Zelda: Ocarina of Time,1998,12,1,9
96,Crash Bandicoot 2: Cortex Strikes Back,1997,13,4,2
97,Super Mario Bros. 2,1988,2,1,2
98,Super Smash Bros. for Wii U and 3DS,2014,10,1,10
99,Call of Duty: World at War,2008,5,5,7
100,Battlefield 3,2011,5,8,7
101,The Legend of Zelda: Twilight Princess,2006,1,1,9
102,Call of Duty: Black Ops 3,2015,18,5,7
103,Just Dance,2009,1,6,6
104,Battlefield 3,2011,6,8,7
105,Need for Speed Underground,2003,7,8,3
106,Tekken 3,1998,13,4,10
107,Crash Bandicoot 3: Warped,1998,13,4,2
108,Super Smash Bros. Melee,2001,19,1,10
109,Mario Kart 8,2014,20,1,3
110,Fallout 4,2015,11,7,4
111,Mario Kart: Double Dash!!,2003,19,1,3
112,Just Dance 4,2012,1,6,6
113,FIFA 14,2013,6,8,1
114,Need for Speed Underground 2,2004,7,8,3
115,Medal of Honor: Frontline,2002,7,8,7
116,Uncharted 3: Drake's Deception,2011,6,4,9
