id,year,platform,publisher,genre,na_sales,eu_sales,jp_sales,ot_sales,gb_sales
1,2006,1,1,1,41.49,29.02,3.77,8.46,82.74
2,1985,2,1,2,29.08,3.58,6.81,0.77,40.24
3,2008,1,1,3,15.85,12.88,3.79,3.31,35.82
4,2009,1,1,1,15.75,11.01,3.28,2.96,33
5,1996,3,1,4,11.27,8.89,10.22,1,31.37
6,1989,3,1,5,23.2,2.26,4.22,0.58,30.26
7,2006,4,1,2,11.38,9.23,6.5,2.9,30.01
8,2006,1,1,6,14.03,9.2,2.93,2.85,29.02
9,2009,1,1,2,14.59,7.06,4.7,2.26,28.62
10,1984,2,1,7,26.93,0.63,0.28,0.47,28.31
11,2005,4,1,8,9.07,11,1.93,2.75,24.76
12,2005,4,1,3,9.81,7.57,4.13,1.92,23.42
13,1999,3,1,4,9,6.18,7.2,0.71,23.1
14,2007,1,1,1,8.94,8.03,3.6,2.15,22.72
15,2009,1,1,1,9.09,8.59,2.53,1.79,22
16,2010,5,2,6,14.97,4.94,0.24,1.67,21.82
17,2013,6,3,9,7.01,9.27,0.97,4.14,21.4
18,2004,7,3,9,9.43,0.4,0.41,10.57,20.81
19,1990,8,1,2,12.78,3.75,3.54,0.55,20.61
20,2005,4,1,6,4.75,9.26,4.16,2.05,20.22
21,2006,4,1,4,6.42,4.52,6.04,1.37,18.36
22,1989,3,1,2,10.83,2.71,4.18,0.42,18.14
23,1988,2,1,2,9.54,3.44,3.84,0.46,17.28
24,2013,5,3,9,9.63,5.31,0.06,1.38,16.38
25,2002,7,3,9,8.41,5.49,0.47,1.78,16.15
26,2002,9,1,4,6.06,3.9,5.38,0.5,15.85
27,2010,4,1,4,5.57,3.28,5.65,0.82,15.32
28,2005,4,1,5,3.44,5.36,5.32,1.18,15.3
29,2001,7,4,3,6.85,5.09,1.87,1.16,14.98
30,2011,5,5,7,9.03,4.28,0.13,1.32,14.76
31,1998,3,1,4,5.89,5.04,3.12,0.59,14.64
32,2010,5,5,7,9.67,3.73,0.11,1.13,14.64
33,2013,10,1,4,5.17,4.05,4.34,0.79,14.35
34,2015,11,5,7,5.77,5.81,0.35,2.31,14.24
35,2012,6,5,7,4.99,5.88,0.65,2.52,14.03
36,2012,5,5,7,8.25,4.3,0.07,1.12,13.73
37,2009,5,5,7,8.52,3.63,0.08,1.29,13.51
38,2011,6,5,7,5.54,5.82,0.49,1.62,13.46
39,2001,7,3,9,6.99,4.51,0.3,1.3,13.1
40,2008,1,1,10,6.75,2.61,2.66,1.02,13.04
41,2010,6,5,7,5.98,4.44,0.48,1.83,12.73
42,2005,4,1,8,2.55,3.52,5.33,0.88,12.27
43,2011,10,1,3,4.74,3.91,2.67,0.89,12.21
44,2007,5,2,7,7.97,2.83,0.13,1.21,12.14
45,2014,11,3,9,3.8,5.81,0.36,2.02,11.98
46,2009,4,1,9,4.4,2.77,3.96,0.77,11.9
47,1996,12,1,2,6.91,2.85,1.91,0.23,11.89
48,2004,7,4,3,3.01,0.01,1.1,7.53,11.66
49,2007,1,1,2,6.16,3.4,1.2,0.76,11.52
50,2014,10,1,4,4.23,3.37,3.08,0.65,11.33
51,1992,3,1,11,6.16,2.04,2.69,0.29,11.18
52,2008,5,3,9,6.76,3.1,0.14,1.03,11.02
53,1997,13,4,3,4.02,3.87,2.54,0.52,10.95
54,2011,10,1,2,4.89,2.99,2.13,0.78,10.79
55,2010,6,4,3,2.96,4.88,0.81,2.12,10.77
56,2009,6,5,7,4.99,3.69,0.38,1.63,10.69
57,2008,6,3,9,4.76,3.76,0.44,1.62,10.57
58,1993,8,1,2,5.99,2.15,2.12,0.29,10.55
59,2004,9,1,4,4.34,2.65,3.15,0.35,10.49
60,2004,4,1,2,5.08,3.11,1.25,0.98,10.42
61,2011,1,6,6,6.05,3.15,0,1.07,10.26
62,2013,5,5,7,6.72,2.63,0.04,0.82,10.21
63,2010,5,2,7,7.03,1.98,0.08,0.78,9.88
64,1996,12,1,3,5.55,1.94,2.23,0.15,9.87
65,2012,10,1,2,3.66,3.07,2.47,0.63,9.82
66,2012,5,2,7,6.63,2.36,0.04,0.73,9.76
67,1997,13,4,4,3.01,2.47,3.28,0.96,9.72
68,2013,6,5,7,4.09,3.73,0.38,1.38,9.59
69,2010,1,6,6,5.84,2.89,0.01,0.78,9.52
70,1999,13,4,3,3.88,3.42,1.69,0.5,9.49
71,2007,5,5,7,5.91,2.38,0.13,0.9,9.32
72,1994,8,1,2,4.36,1.71,3,0.23,9.3
73,2013,5,2,6,5.58,2.83,0.02,0.77,9.2
74,2012,10,1,8,2.01,2.32,4.36,0.41,9.09
75,2007,4,1,6,4.46,1.88,1.98,0.7,9.02
76,2011,5,7,4,5.03,2.86,0.1,0.85,8.84
77,1992,8,1,3,3.54,1.24,3.81,0.18,8.76
78,2015,11,8,1,1.11,6.06,0.06,1.26,8.49
79,2010,1,1,6,1.79,3.53,2.49,0.68,8.49
80,2004,14,2,7,6.82,1.53,0.05,0.08,8.49
81,2007,1,1,6,3.81,2.3,1.58,0.73,8.42
82,2012,4,1,4,2.91,1.86,3.14,0.43,8.33
83,2012,6,8,9,1.06,5.05,0.13,2.01,8.24
84,2009,15,8,8,0.98,6.42,0,0.71,8.11
85,1997,12,1,7,5.8,2.01,0.13,0.15,8.09
86,2007,1,9,1,2.58,3.9,0.66,0.91,8.06
87,2001,7,4,4,2.91,2.07,2.73,0.33,8.05
88,1999,13,10,4,2.28,1.72,3.63,0.23,7.86
89,2008,4,1,4,2.82,1.78,2.69,0.55,7.84
90,1982,16,11,5,7.28,0.45,0,0.08,7.81
91,2005,17,3,9,2.9,2.83,0.24,1.75,7.72
92,2010,1,1,2,3.66,2.42,0.98,0.64,7.69
93,2015,11,8,7,2.93,3.29,0.22,1.23,7.67
94,2014,11,5,7,2.8,3.3,0.14,1.37,7.6
95,1998,12,1,9,4.1,1.89,1.45,0.16,7.6
96,1997,13,4,2,3.78,2.17,1.31,0.31,7.58
97,1988,2,1,2,5.39,1.18,0.7,0.19,7.46
98,2014,10,1,10,3.24,1.35,2.42,0.43,7.45
99,2008,5,5,7,4.79,1.9,0,0.69,7.37
100,2011,5,8,7,4.46,2.13,0.06,0.69,7.34
101,2006,1,1,9,3.83,2.19,0.6,0.7,7.31
102,2015,18,5,7,4.52,2.09,0.01,0.67,7.3
103,2009,1,6,6,3.51,3.03,0,0.73,7.27
104,2011,6,8,7,2.85,2.93,0.35,1.1,7.23
105,2003,7,8,3,3.27,2.83,0.08,1.02,7.2
106,1998,13,4,10,3.27,2.22,1.4,0.29,7.16
107,1998,13,4,2,3.68,1.75,1.42,0.28,7.13
108,2001,19,1,10,4.41,1.04,1.39,0.22,7.07
109,2014,20,1,3,3.13,2.07,1.27,0.49,6.96
110,2015,11,7,4,2.47,3.15,0.24,1.1,6.96
111,2003,19,1,3,4.12,1.77,0.87,0.19,6.95
112,2012,1,6,6,4.14,2.21,0,0.56,6.91
113,2013,6,8,1,0.78,4.32,0.07,1.73,6.9
114,2004,7,8,3,2.71,3.02,0.08,1.09,6.9
115,2002,7,8,7,2.93,2.75,0.17,0.99,6.83
116,2011,6,4,9,2.77,2.8,0.19,1.06,6.83
117,1996,13,4,2,3.23,2.35,0.94,0.3,6.82
118,2010,1,12,1,3.5,2.64,0,0.67,6.81
119,2008,5,2,7,4.15,1.92,0.06,0.64,6.76
120,2009,6,4,9,3.27,2.25,0.21,1,6.73
121,2007,6,5,7,3.1,2.3,0.28,1.04,6.72
122,2011,6,8,1,0.84,4.32,0.11,1.42,6.69
123,2005,4,1,6,1.67,2.78,1.6,0.62,6.67
124,2010,6,3,9,2.79,2.61,0.17,1.03,6.6
125,2014,11,8,1,0.79,4.29,0.05,1.47,6.59
126,2010,1,1,2,3.25,1.84,1.03,0.47,6.59
127,2011,6,7,4,2.55,2.71,0.25,1.05,6.56
128,1986,2,1,9,3.74,0.93,1.69,0.14,6.51
129,2012,6,6,9,2.64,2.56,0.16,1.14,6.5
130,2001,14,2,7,4.98,1.3,0.08,0.07,6.43
131,2004,9,1,4,2.57,1.58,2.06,0.21,6.41
132,2002,7,4,4,3.64,1.2,1.49,0.07,6.4
133,2000,3,1,4,2.55,1.56,1.29,0.99,6.39
134,2009,5,2,7,4.34,1.35,0.06,0.61,6.36
135,2010,5,3,9,3.7,1.97,0.09,0.57,6.34
136,2002,19,1,2,4.01,1.26,0.87,0.17,6.31
137,1992,8,13,10,2.47,0.83,2.87,0.12,6.3
138,2004,15,5,4,0.07,6.21,0,0,6.28
139,1999,13,14,9,3.11,2.8,0.02,0.33,6.27
140,2010,5,2,1,3.92,1.78,0.03,0.51,6.24
141,2011,5,2,7,4.05,1.62,0.07,0.49,6.24
142,2006,5,2,7,3.54,1.9,0.07,0.6,6.11
143,2001,7,15,9,2.45,2.01,0.87,0.72,6.05
144,1992,21,9,2,4.47,1.2,0.16,0.19,6.03
145,2008,6,15,9,2.63,1.74,0.83,0.83,6.03
146,1998,13,15,9,3.18,1.83,0.78,0.24,6.03
147,2013,6,16,9,2.41,2.28,0.28,1.01,5.99
148,2006,7,17,4,1.88,0,2.33,1.74,5.95
149,2008,6,4,2,2.8,2.05,0.17,0.9,5.92
150,2009,4,1,4,0.66,0.69,4.35,0.15,5.84
151,2007,1,18,9,3.66,1.63,0,0.53,5.83
152,1998,13,19,9,1.88,1.47,2.02,0.45,5.82
153,1996,13,4,10,2.26,1.89,1.36,0.23,5.74
154,2006,4,12,8,3.13,1.94,0.07,0.58,5.72
155,2014,11,5,7,2.49,2.05,0.16,0.96,5.65
156,1988,2,1,5,2.97,0.69,1.81,0.11,5.58
157,2009,6,6,9,2.54,1.95,0.21,0.87,5.57
158,1999,12,1,10,2.95,0.6,1.97,0.04,5.55
159,2007,5,6,11,3.28,1.65,0.07,0.55,5.55
160,2011,6,20,9,2.7,1.91,0.11,0.8,5.53
161,2009,5,2,3,2.99,1.92,0.1,0.51,5.51
162,2008,17,13,4,0.47,0.57,4.13,0.34,5.5
163,2001,9,1,2,3.14,1.24,0.91,0.2,5.49
164,2001,9,1,3,2.62,1.64,0.99,0.23,5.47
165,2001,9,1,2,3.21,1.11,0.95,0.2,5.46
166,1999,12,1,12,3.18,1.24,0.94,0.09,5.45
167,2008,6,5,7,2.72,1.87,0,0.84,5.43
168,2001,7,21,2,2.07,2.29,0.24,0.82,5.42
169,2014,6,4,6,1.97,2.51,0,0.94,5.42
170,2009,6,17,4,1.74,1.24,1.87,0.52,5.36
171,1989,3,1,5,2.18,0.96,2,0.2,5.34
172,1999,3,1,6,3.02,1.12,1.01,0.16,5.31
173,2012,5,6,9,3.13,1.71,0.03,0.44,5.3
174,2000,13,10,4,1.62,0.77,2.78,0.14,5.3
175,2003,7,8,4,1.92,1.08,2.11,0.17,5.29
176,1999,12,1,2,3.33,0.79,1.09,0.06,5.27
177,2009,5,6,9,3.1,1.56,0.08,0.51,5.27
178,2007,4,1,5,1.22,2.48,1.03,0.52,5.26
179,1997,13,22,9,2.3,2.46,0.2,0.28,5.24
180,2004,7,17,4,0.65,0.75,3.61,0.2,5.21
181,2012,15,5,4,2.43,2.15,0,0.62,5.2
182,2003,9,1,2,2.93,1.25,0.83,0.2,5.2
183,2012,20,1,2,2.32,1.3,1.27,0.31,5.19
184,1994,3,1,2,2.49,0.98,1.57,0.15,5.19
185,2012,5,8,9,1.08,3.48,0.03,0.58,5.18
186,2007,4,1,9,1.9,1.83,0.95,0.49,5.17
187,1995,8,1,2,2.1,0.74,2.2,0.11,5.15
188,2013,10,1,8,0.96,2.02,1.89,0.28,5.15
189,2008,4,9,1,1.64,2.48,0.44,0.58,5.14
190,2003,7,8,7,1.98,2.23,0.13,0.8,5.13
191,1992,3,1,2,2.71,0.61,1.7,0.11,5.13
192,2010,5,2,4,3.59,1.11,0.05,0.38,5.13
193,2014,18,5,7,3.21,1.53,0.01,0.38,5.13
194,1996,15,2,8,3.22,1.69,0,0.2,5.12
195,2006,7,23,6,3.81,0.63,0,0.68,5.12
196,2009,6,13,9,1.96,1.43,1.08,0.65,5.11
197,2014,18,3,9,2.66,2.01,0,0.41,5.08
198,2006,17,3,9,1.7,2.02,0.16,1.21,5.08
199,2010,6,8,1,0.6,3.29,0.06,1.13,5.08
200,1999,3,1,2,3.4,1.3,0.15,0.22,5.07
201,1996,13,19,9,2.05,1.16,1.11,0.73,5.05
202,1999,13,5,1,3.42,1.38,0.02,0.2,5.02
203,2014,20,1,10,2.59,1.06,0.8,0.57,5.02
204,1999,13,22,12,2.79,1.89,0,0.33,5.01
205,1998,13,4,2,3.36,1.36,0.07,0.21,5
206,2007,1,1,7,3.06,1.18,0.29,0.46,5
207,2007,7,5,6,3.49,0.01,0.01,1.48,4.98
208,2008,5,7,4,3.39,1.03,0.09,0.44,4.96
209,2007,4,1,4,1.85,1.2,1.54,0.37,4.96
210,2007,6,4,9,2.31,1.73,0.12,0.78,4.94
211,2005,7,8,1,3.98,0.26,0.01,0.66,4.91
212,2007,4,18,9,2.89,1.54,0,0.46,4.9
213,1997,12,1,3,2.91,0.99,0.89,0.1,4.88
214,2010,17,13,4,0,0,4.87,0,4.87
215,1990,2,1,5,2.62,0.6,1.52,0.1,4.85
216,2010,6,4,9,2.74,1.36,0.12,0.63,4.84
217,2010,15,5,12,2.56,1.68,0,0.59,4.83
218,2007,6,6,11,1.91,2,0.09,0.83,4.83
219,2014,6,8,1,0.57,3.14,0.04,1.07,4.82
220,1999,13,4,3,2.57,1.57,0.44,0.21,4.79
221,2016,11,8,1,0.28,3.75,0.06,0.69,4.77
222,2011,5,20,9,2.99,1.31,0.04,0.41,4.76
223,2000,13,11,9,2.36,2.1,0.02,0.25,4.73
224,2003,7,24,3,1.73,2.19,0,0.79,4.7
225,2000,13,5,1,3.05,1.41,0.02,0.2,4.68
226,2008,1,1,8,1.87,1.12,1.32,0.37,4.68
227,2002,7,8,9,1.94,1.95,0.08,0.7,4.67
228,2011,5,2,3,2.08,2.04,0.06,0.47,4.64
229,1996,13,22,9,2.29,1.97,0.13,0.24,4.63
230,2007,1,5,6,3.06,1.12,0,0.44,4.62
231,1991,8,1,9,2.42,0.91,1.15,0.13,4.61
232,2002,19,1,9,2.6,0.99,0.89,0.13,4.6
233,2009,1,9,1,1.89,1.99,0.22,0.48,4.58
234,2013,10,1,9,1.78,1.39,1.1,0.3,4.58
235,2015,20,1,7,1.55,1.15,1.44,0.43,4.57
236,2014,11,4,9,1.78,1.87,0.07,0.82,4.55
237,2007,5,5,6,3.19,0.92,0.01,0.42,4.53
238,2004,7,8,1,4.18,0.26,0.01,0.08,4.53
239,1981,16,5,2,4.21,0.24,0,0.05,4.5
240,2006,7,8,1,3.63,0.24,0.01,0.61,4.49
241,2002,7,5,9,2.71,1.51,0.03,0.23,4.48
242,2000,13,25,4,0.2,0.14,4.1,0.02,4.47
243,2015,11,4,9,1.96,1.69,0.08,0.74,4.47
244,2014,6,5,7,1.54,1.94,0.19,0.77,4.45
245,2005,7,4,9,2.71,1.29,0.02,0.43,4.45
246,2012,20,1,6,2.55,1.11,0.46,0.33,4.44
247,2010,1,6,6,2.67,1.35,0.01,0.39,4.42
248,2001,7,5,1,2.66,1.29,0.01,0.46,4.41
249,2006,7,15,1,0.1,2.39,1.05,0.86,4.39
250,2006,5,3,4,2.82,1.05,0.13,0.4,4.39
251,1987,2,1,11,2.19,0.5,1.61,0.08,4.38
252,2005,7,8,3,2.03,1.79,0.08,0.47,4.37
253,2006,6,4,7,1.73,1.73,0.14,0.75,4.35
254,1991,21,9,2,3.03,0.91,0.26,0.13,4.34
255,2005,7,17,4,2.2,0.58,1.38,0.17,4.33
256,2013,5,8,1,0.92,2.93,0.01,0.46,4.31
257,2014,5,5,7,2.75,1.18,0,0.37,4.31
258,1980,16,11,7,4,0.26,0,0.05,4.31
259,2008,5,2,4,2.51,1.27,0.11,0.41,4.31
260,2015,18,2,7,2.64,1.2,0.03,0.39,4.26
261,2013,20,1,2,2.11,1.11,0.72,0.3,4.25
262,2009,6,22,9,2.23,1.34,0.07,0.61,4.25
